StreetID,StreetName,X_Coordinates,Y_Coordinates
1,Rruga Cerrik-Gostime,19.9897896,41.0240816
2,Bulevardi Jorgji Dilo,19.9891339,41.0269669
3,Stacioni Makinave Traktoreve,20.0034988,41.0209982
4,Rruga Gjergj Arianiti,19.9733293,41.0336903
5,Çameria,19.9823366,41.0355108
6,Rruga Garunja,19.9773074,41.0292467
7,Rruga 14 Maji,19.9902761,41.0265893
8,Rruga Asdreni,19.9810464,41.0351983
9,Hasan Prishtina,19.9952725,41.0321727
10,Rruga Rinia,19.9934807,41.0310389
11,Egnatia,19.9934807,41.0310389
12,Rruga Petrit Hakani,19.988732,41.027976
13,Rruga 29 Nentori,19.9912061,41.0282646
14,Rruga Kaonet,19.9862189,41.0264086
15,Rruga Hoxha Tasim,19.9905447,41.0268707
16,Rruga Fan Noli,19.9900633,41.0275532
17,Rruga Aleksander Moisiu,19.9920014,41.027784
18,Rruga Iliret,19.979672,41.0345793
19,Rruga Ibrahim Peqini,19.9750843,41.0229204
20,Rruga Rilindja,19.9940491,41.0310101
21,Rruga Çajupi,19.9898301,41.0245566
22,Rruga Gramshi,19.985349,41.0258615
23,Rruga 5 Maji,19.9950041,41.0291405
24,Rruga Ndre Mjeda,19.9960057,41.0302553
25,Rruga Iliria,19.9974854,41.0303689
26,Rruga Naim Frasheri,19.9929961,41.0286878
27,Rruga Shpati,19.9929548,41.026706
28,Rruga Jeronim De Rada,20.0008902,41.0301416
